race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,Wisconsin,4/6/2020,Bernard Sanders,30.28749,35.57116,20:30:12  6 Apr 2020,4/7/2020
2020D,Pennsylvania,4/6/2020,Bernard Sanders,16.98036,28.26379,20:30:12  6 Apr 2020,6/2/2020
2020D,Oregon,4/6/2020,Bernard Sanders,26.96585,38.21499,20:30:12  6 Apr 2020,5/19/2020
2020D,Ohio,4/6/2020,Bernard Sanders,25.15316,28.54505,20:30:12  6 Apr 2020,4/28/2020
2020D,New York,4/6/2020,Bernard Sanders,17.28103,29.38213,20:30:12  6 Apr 2020,6/23/2020
2020D,New Mexico,4/6/2020,Bernard Sanders,22.73641,36.38431,20:30:12  6 Apr 2020,6/2/2020
2020D,New Jersey,4/6/2020,Bernard Sanders,19.77978,32.59351,20:30:12  6 Apr 2020,6/2/2020
2020D,National,4/6/2020,Bernard Sanders,32.03374,,20:30:12  6 Apr 2020,
2020D,Montana,4/6/2020,Bernard Sanders,2.000001,11.39206,20:30:12  6 Apr 2020,6/2/2020
2020D,Maryland,4/6/2020,Bernard Sanders,19.85268,27.38617,20:30:12  6 Apr 2020,6/2/2020
2020D,Kansas,4/6/2020,Bernard Sanders,36.26941,34.82716,20:30:12  6 Apr 2020,5/2/2020
2020D,Indiana,4/6/2020,Bernard Sanders,23,40.13335,20:30:12  6 Apr 2020,6/2/2020
2020D,Georgia,4/6/2020,Bernard Sanders,15.04132,25.49866,20:30:12  6 Apr 2020,5/19/2020
2020D,Delaware,4/6/2020,Bernard Sanders,10.18956,23.43361,20:30:12  6 Apr 2020,6/2/2020
2020D,Connecticut,4/6/2020,Bernard Sanders,22.13335,29.57466,20:30:12  6 Apr 2020,6/2/2020
2020D,Wyoming,4/6/2020,Joseph R. Biden Jr.,4.01e-07,11.12641,20:30:12  6 Apr 2020,4/17/2020
2020D,Wisconsin,4/6/2020,Joseph R. Biden Jr.,39.57387,52.29003,20:30:12  6 Apr 2020,4/7/2020
2020D,Pennsylvania,4/6/2020,Joseph R. Biden Jr.,31.42007,56.17768,20:30:12  6 Apr 2020,6/2/2020
2020D,Oregon,4/6/2020,Joseph R. Biden Jr.,25.47346,49.63808,20:30:12  6 Apr 2020,5/19/2020
2020D,Ohio,4/6/2020,Joseph R. Biden Jr.,52.23267,59.58223,20:30:12  6 Apr 2020,4/28/2020
2020D,New York,4/6/2020,Joseph R. Biden Jr.,22.769,50.19844,20:30:12  6 Apr 2020,6/23/2020
2020D,New Mexico,4/6/2020,Joseph R. Biden Jr.,25.52181,51.40999,20:30:12  6 Apr 2020,6/2/2020
2020D,New Jersey,4/6/2020,Joseph R. Biden Jr.,25.08932,53.65563,20:30:12  6 Apr 2020,6/2/2020
2020D,National,4/6/2020,Joseph R. Biden Jr.,52.6286,,20:30:12  6 Apr 2020,
2020D,Montana,4/6/2020,Joseph R. Biden Jr.,15,37.431,20:30:12  6 Apr 2020,6/2/2020
2020D,Maryland,4/6/2020,Joseph R. Biden Jr.,22.66364,56.20082,20:30:12  6 Apr 2020,6/2/2020
2020D,Kansas,4/6/2020,Joseph R. Biden Jr.,55.33884,58.10859,20:30:12  6 Apr 2020,5/2/2020
2020D,Indiana,4/6/2020,Joseph R. Biden Jr.,33,53.37513,20:30:12  6 Apr 2020,6/2/2020
2020D,Georgia,4/6/2020,Joseph R. Biden Jr.,40.26886,64.10742,20:30:12  6 Apr 2020,5/19/2020
2020D,Delaware,4/6/2020,Joseph R. Biden Jr.,32.20929,60.35921,20:30:12  6 Apr 2020,6/2/2020
2020D,Connecticut,4/6/2020,Joseph R. Biden Jr.,37.95837,59.11636,20:30:12  6 Apr 2020,6/2/2020
2020D,Wyoming,4/5/2020,Bernard Sanders,4.01e-07,7.917261,01:00:12  5 Apr 2020,4/17/2020
2020D,Wisconsin,4/5/2020,Bernard Sanders,30.42974,35.9726,01:00:12  5 Apr 2020,4/13/2020
2020D,Pennsylvania,4/5/2020,Bernard Sanders,16.98144,28.69057,01:00:12  5 Apr 2020,6/2/2020
2020D,Oregon,4/5/2020,Bernard Sanders,26.96935,38.68748,01:00:12  5 Apr 2020,5/19/2020
2020D,Ohio,4/5/2020,Bernard Sanders,25.20393,28.97415,01:00:12  5 Apr 2020,4/28/2020
2020D,New York,4/5/2020,Bernard Sanders,17.28091,29.81249,01:00:12  5 Apr 2020,6/23/2020
2020D,New Mexico,4/5/2020,Bernard Sanders,22.73937,36.84749,01:00:12  5 Apr 2020,6/2/2020
2020D,New Jersey,4/5/2020,Bernard Sanders,19.78178,33.04214,01:00:12  5 Apr 2020,6/2/2020
2020D,National,4/5/2020,Bernard Sanders,31.97916,,01:00:12  5 Apr 2020,
2020D,Montana,4/5/2020,Bernard Sanders,2.000001,11.67959,01:00:12  5 Apr 2020,6/2/2020
2020D,Maryland,4/5/2020,Bernard Sanders,19.8526,27.80588,01:00:12  5 Apr 2020,6/2/2020
2020D,Kansas,4/5/2020,Bernard Sanders,36.27026,35.31985,01:00:12  5 Apr 2020,5/2/2020
2020D,Indiana,4/5/2020,Bernard Sanders,23,40.6057,01:00:12  5 Apr 2020,6/2/2020
2020D,Georgia,4/5/2020,Bernard Sanders,15.04269,25.90911,01:00:12  5 Apr 2020,5/19/2020
2020D,Delaware,4/5/2020,Bernard Sanders,10.19053,23.82893,01:00:12  5 Apr 2020,6/2/2020
2020D,Connecticut,4/5/2020,Bernard Sanders,22.13335,30.00504,01:00:12  5 Apr 2020,6/2/2020
2020D,Wyoming,4/5/2020,Joseph R. Biden Jr.,4.01e-07,10.55068,01:00:12  5 Apr 2020,4/17/2020
2020D,Wisconsin,4/5/2020,Joseph R. Biden Jr.,39.92027,51.56364,01:00:12  5 Apr 2020,4/13/2020
2020D,Pennsylvania,4/5/2020,Joseph R. Biden Jr.,31.39977,55.17054,01:00:12  5 Apr 2020,6/2/2020
2020D,Oregon,4/5/2020,Joseph R. Biden Jr.,25.45376,48.61675,01:00:12  5 Apr 2020,5/19/2020
2020D,Ohio,4/5/2020,Joseph R. Biden Jr.,52.36729,58.47706,01:00:12  5 Apr 2020,4/28/2020
2020D,New York,4/5/2020,Joseph R. Biden Jr.,22.76445,49.20151,01:00:12  5 Apr 2020,6/23/2020
2020D,New Mexico,4/5/2020,Joseph R. Biden Jr.,25.48312,50.37377,01:00:12  5 Apr 2020,6/2/2020
2020D,New Jersey,4/5/2020,Joseph R. Biden Jr.,25.06338,52.63579,01:00:12  5 Apr 2020,6/2/2020
2020D,National,4/5/2020,Joseph R. Biden Jr.,51.57718,,01:00:12  5 Apr 2020,
2020D,Montana,4/5/2020,Joseph R. Biden Jr.,15,36.4784,01:00:12  5 Apr 2020,6/2/2020
2020D,Maryland,4/5/2020,Joseph R. Biden Jr.,22.66085,55.21083,01:00:12  5 Apr 2020,6/2/2020
2020D,Kansas,4/5/2020,Joseph R. Biden Jr.,55.31912,57.00105,01:00:12  5 Apr 2020,5/2/2020
2020D,Indiana,4/5/2020,Joseph R. Biden Jr.,33,52.38117,01:00:12  5 Apr 2020,6/2/2020
2020D,Georgia,4/5/2020,Joseph R. Biden Jr.,40.25363,63.13532,01:00:12  5 Apr 2020,5/19/2020
2020D,Delaware,4/5/2020,Joseph R. Biden Jr.,32.18214,59.36848,01:00:12  5 Apr 2020,6/2/2020
2020D,Connecticut,4/5/2020,Joseph R. Biden Jr.,37.95837,58.13887,01:00:12  5 Apr 2020,6/2/2020
2020D,Wyoming,4/4/2020,Bernard Sanders,4.01e-07,7.917261,01:00:12  4 Apr 2020,4/17/2020
2020D,Wisconsin,4/4/2020,Bernard Sanders,30.42974,35.9726,01:00:12  4 Apr 2020,4/13/2020
2020D,Pennsylvania,4/4/2020,Bernard Sanders,16.98144,28.69057,01:00:12  4 Apr 2020,6/2/2020
2020D,Oregon,4/4/2020,Bernard Sanders,26.96935,38.68748,01:00:12  4 Apr 2020,5/19/2020
2020D,Ohio,4/4/2020,Bernard Sanders,25.20393,28.97415,01:00:12  4 Apr 2020,4/28/2020
2020D,New York,4/4/2020,Bernard Sanders,17.28091,29.81249,01:00:12  4 Apr 2020,6/23/2020
2020D,New Mexico,4/4/2020,Bernard Sanders,22.73937,36.84749,01:00:12  4 Apr 2020,6/2/2020
2020D,New Jersey,4/4/2020,Bernard Sanders,19.78178,33.04214,01:00:12  4 Apr 2020,6/2/2020
2020D,National,4/4/2020,Bernard Sanders,31.97916,,01:00:12  4 Apr 2020,
2020D,Montana,4/4/2020,Bernard Sanders,2.000001,11.67959,01:00:12  4 Apr 2020,6/2/2020
2020D,Maryland,4/4/2020,Bernard Sanders,19.8526,27.80588,01:00:12  4 Apr 2020,6/2/2020
2020D,Kansas,4/4/2020,Bernard Sanders,36.27026,35.31985,01:00:12  4 Apr 2020,5/2/2020
2020D,Indiana,4/4/2020,Bernard Sanders,23,40.6057,01:00:12  4 Apr 2020,6/2/2020
2020D,Georgia,4/4/2020,Bernard Sanders,15.04269,25.90911,01:00:12  4 Apr 2020,5/19/2020
2020D,Delaware,4/4/2020,Bernard Sanders,10.19053,23.82893,01:00:12  4 Apr 2020,6/2/2020
2020D,Connecticut,4/4/2020,Bernard Sanders,22.13335,30.00504,01:00:12  4 Apr 2020,6/2/2020
2020D,Wyoming,4/4/2020,Joseph R. Biden Jr.,4.01e-07,10.55068,01:00:12  4 Apr 2020,4/17/2020
2020D,Wisconsin,4/4/2020,Joseph R. Biden Jr.,39.92027,51.56364,01:00:12  4 Apr 2020,4/13/2020
2020D,Pennsylvania,4/4/2020,Joseph R. Biden Jr.,31.39977,55.17054,01:00:12  4 Apr 2020,6/2/2020
2020D,Oregon,4/4/2020,Joseph R. Biden Jr.,25.45376,48.61675,01:00:12  4 Apr 2020,5/19/2020
2020D,Ohio,4/4/2020,Joseph R. Biden Jr.,52.36729,58.47706,01:00:12  4 Apr 2020,4/28/2020
2020D,New York,4/4/2020,Joseph R. Biden Jr.,22.76445,49.20151,01:00:12  4 Apr 2020,6/23/2020
2020D,New Mexico,4/4/2020,Joseph R. Biden Jr.,25.48312,50.37377,01:00:12  4 Apr 2020,6/2/2020
2020D,New Jersey,4/4/2020,Joseph R. Biden Jr.,25.06338,52.63579,01:00:12  4 Apr 2020,6/2/2020
2020D,National,4/4/2020,Joseph R. Biden Jr.,51.57718,,01:00:12  4 Apr 2020,
2020D,Montana,4/4/2020,Joseph R. Biden Jr.,15,36.4784,01:00:12  4 Apr 2020,6/2/2020
2020D,Maryland,4/4/2020,Joseph R. Biden Jr.,22.66085,55.21083,01:00:12  4 Apr 2020,6/2/2020
2020D,Kansas,4/4/2020,Joseph R. Biden Jr.,55.31912,57.00105,01:00:12  4 Apr 2020,5/2/2020
2020D,Indiana,4/4/2020,Joseph R. Biden Jr.,33,52.38117,01:00:12  4 Apr 2020,6/2/2020
2020D,Georgia,4/4/2020,Joseph R. Biden Jr.,40.25363,63.13532,01:00:12  4 Apr 2020,5/19/2020
2020D,Delaware,4/4/2020,Joseph R. Biden Jr.,32.18214,59.36848,01:00:12  4 Apr 2020,6/2/2020
2020D,Connecticut,4/4/2020,Joseph R. Biden Jr.,37.95837,58.13887,01:00:12  4 Apr 2020,6/2/2020
2020D,Wyoming,4/3/2020,Bernard Sanders,4.01e-07,7.917261,12:32:13  3 Apr 2020,4/17/2020
2020D,Wisconsin,4/3/2020,Bernard Sanders,30.42974,35.9726,12:32:13  3 Apr 2020,4/13/2020
2020D,Pennsylvania,4/3/2020,Bernard Sanders,16.98144,28.69057,12:32:13  3 Apr 2020,6/2/2020
2020D,Oregon,4/3/2020,Bernard Sanders,26.96935,38.68748,12:32:13  3 Apr 2020,5/19/2020
2020D,Ohio,4/3/2020,Bernard Sanders,25.20393,28.97415,12:32:13  3 Apr 2020,4/28/2020
2020D,New York,4/3/2020,Bernard Sanders,17.28091,29.81249,12:32:13  3 Apr 2020,6/23/2020
2020D,New Mexico,4/3/2020,Bernard Sanders,22.73937,36.84749,12:32:13  3 Apr 2020,6/2/2020
2020D,New Jersey,4/3/2020,Bernard Sanders,19.78178,33.04214,12:32:13  3 Apr 2020,6/2/2020
2020D,National,4/3/2020,Bernard Sanders,31.97916,,12:32:13  3 Apr 2020,
2020D,Montana,4/3/2020,Bernard Sanders,2.000001,11.67959,12:32:13  3 Apr 2020,6/2/2020
2020D,Maryland,4/3/2020,Bernard Sanders,19.8526,27.80588,12:32:13  3 Apr 2020,6/2/2020
2020D,Kansas,4/3/2020,Bernard Sanders,36.27026,35.31985,12:32:13  3 Apr 2020,5/2/2020
2020D,Indiana,4/3/2020,Bernard Sanders,23,40.6057,12:32:13  3 Apr 2020,6/2/2020
2020D,Georgia,4/3/2020,Bernard Sanders,15.04269,25.90911,12:32:13  3 Apr 2020,5/19/2020
2020D,Delaware,4/3/2020,Bernard Sanders,10.19053,23.82893,12:32:13  3 Apr 2020,6/2/2020
2020D,Connecticut,4/3/2020,Bernard Sanders,22.13335,30.00504,12:32:13  3 Apr 2020,6/2/2020
2020D,Wyoming,4/3/2020,Joseph R. Biden Jr.,4.01e-07,10.55068,12:32:13  3 Apr 2020,4/17/2020
2020D,Wisconsin,4/3/2020,Joseph R. Biden Jr.,39.92027,51.56364,12:32:13  3 Apr 2020,4/13/2020
2020D,Pennsylvania,4/3/2020,Joseph R. Biden Jr.,31.39977,55.17054,12:32:13  3 Apr 2020,6/2/2020
2020D,Oregon,4/3/2020,Joseph R. Biden Jr.,25.45376,48.61675,12:32:13  3 Apr 2020,5/19/2020
2020D,Ohio,4/3/2020,Joseph R. Biden Jr.,52.36729,58.47706,12:32:13  3 Apr 2020,4/28/2020
2020D,New York,4/3/2020,Joseph R. Biden Jr.,22.76445,49.20151,12:32:13  3 Apr 2020,6/23/2020
2020D,New Mexico,4/3/2020,Joseph R. Biden Jr.,25.48312,50.37377,12:32:13  3 Apr 2020,6/2/2020
